profile,n,noise_std,method,target_id,seeds,mse,bias_squared,variance,residual_capture_mean,params,selection_examples,fitting_examples,total_unique_examples,charged_seconds_mean,mse_sd,mse_ci_low,mse_ci_high
concentrated,64,0.25,compressed,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.010500059151784365,0.0028228463175957036,0.0076772128341886636,,128,0,64,64,1.5592866532038898,0.0011422094266800539,0.009965488684949475,0.011034629618619255
concentrated,64,0.25,energy,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.006767207302229605,0.0007522875362474348,0.00601491976598217,0.9920641779899597,128,64,64,64,1.7272298205847618,0.0007959009641770697,0.00639471418491124,0.00713970041954797
concentrated,64,0.25,gradient,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.015568389340449722,0.001496669021033696,0.014071720319416026,0.36281422402826136,128,64,64,64,1.7289158342406155,0.0014469366937039524,0.01489120212261868,0.016245576558280763
concentrated,64,0.25,lora,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.08518285164317824,0.011858748666347134,0.07332410297683112,,1024,0,64,64,1.5035243087040726,0.005038001194296552,0.08282499450468674,0.08754070878166974
concentrated,64,0.25,random,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.0091104896132022,0.002899641971281475,0.006210847641920723,0.0026293419902685853,128,64,64,64,1.7291567424807,0.0008545668382958786,0.008710540021631016,0.009510439204773385
concentrated,64,0.25,snip,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.015672873203778956,0.0018321967022267896,0.013840676501552168,0.12688110967901595,128,64,64,64,1.7270619743387214,0.0016097883680981494,0.014919469056221825,0.016426277351336085
concentrated,64,0.25,snip_independent,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.015723825299138385,0.002392549675783546,0.013331275623354838,0.10267651926424151,128,32,32,64,1.578220733103808,0.0017009301893919798,0.014927765466188393,0.016519885132088376
concentrated,64,0.25,snip_same_half,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.021237542756032346,0.002331770777420224,0.018905771978612117,0.10631583056151613,128,32,32,32,1.5770073330495507,0.0018422802836585714,0.020375329042616776,0.022099756469447916
concentrated,64,0.5,compressed,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.02310875505721465,0.0035242665908088323,0.01958448846640582,,128,0,64,64,1.561033833050169,0.0024879382901461826,0.02194436409514252,0.024273146019286783
concentrated,64,0.5,energy,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.015948996026375693,0.0014867579568314695,0.014462238069544215,0.9920641779899597,128,64,64,64,1.577510689853807,0.0015603649918603886,0.015218722730911747,0.01667926932183964
