profile,n,noise_std,seed,target_id,method,mse,residual_capture,params,selection_examples,fitting_examples,total_unique_examples,available_examples,charged_gradient_steps,charged_seconds
concentrated,64,0.25,0,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,lora,0.08839195914800559,,1024,0,64,64,64,1000,1.4945491020334885
concentrated,64,0.25,0,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,compressed,0.009886392086772732,,128,0,64,64,64,1000,1.5559835119638592
concentrated,64,0.25,0,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,random,0.008421289661169572,6.86513667460531e-05,128,64,64,64,64,1000,3.171059547981713
concentrated,64,0.25,0,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,gradient,0.014594376455875298,0.4863080382347107,128,64,64,64,64,1000,3.167095499986317
concentrated,64,0.25,0,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,snip,0.013805875143409974,0.060930054634809494,128,64,64,64,64,1000,3.168372749001719
concentrated,64,0.25,0,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,energy,0.006863660390641995,0.9920641779899597,128,64,64,64,64,1000,3.1674726199707948
concentrated,64,0.25,0,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,snip_independent,0.01376852863558824,0.06088023632764816,128,32,32,64,64,1000,1.582749584049452
concentrated,64,0.25,0,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,snip_same_half,0.01972073079261792,0.42841196060180664,128,32,32,32,64,1000,1.5782393399858847
concentrated,64,0.25,1,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,lora,0.08024076480370895,,1024,0,64,64,64,1000,1.4970867320080288
concentrated,64,0.25,1,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,compressed,0.011570162753820232,,128,0,64,64,64,1000,1.556141828012187
concentrated,64,0.25,1,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,random,0.009424724845036998,5.459404565044679e-05,128,64,64,64,64,1000,3.0236161600332707
concentrated,64,0.25,1,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,gradient,0.017171270615703112,0.4283466637134552,128,64,64,64,64,1000,3.0195531820645556
concentrated,64,0.25,1,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,snip,0.016258436578526547,0.5051714777946472,128,64,64,64,64,1000,3.021876390033867
