runset,setting,method,seed,subset_seed,final_accuracy_pct,best_accuracy_pct,latent_d,sparse_K,adapter_active_dof,head_params,total_active_dof,raw_adapter_params,raw_trainable_params,head_lr,source_json,source_log,learning_rate,learning_rate_theta_d,num_train_epochs,per_device_train_batch_size,gradient_accumulation_steps,rosa_warmup_steps,rosa_mask_steps,rosa_sparse_lr_mult,warmup_ratio,lr_scheduler_type,optim,bf16
p1_vision,cifar100_1000,lora,42,42,86.91,86.94,0,0,147456,76900,224356,147456,224356,3e-3,ViT/results/p1_vision/cifar100_1000/lora_s42.json,ViT/logs/p1_vit_5880_1794420_0.out,0.001,None,20.0,64,1,128,1,0.2,0.1,SchedulerType.LINEAR,OptimizerNames.ADAMW_TORCH,True
p1_vision,cifar100_1000,lora,43,42,86.57000000000001,86.57000000000001,0,0,147456,76900,224356,147456,224356,3e-3,ViT/results/p1_vision/cifar100_1000/lora_s43.json,ViT/logs/p1_vit72k_1804656_0.out,0.001,None,20.0,64,1,128,1,0.2,0.1,SchedulerType.LINEAR,OptimizerNames.ADAMW_TORCH,True
p1_vision,cifar100_1000,lora,44,42,86.44,86.61999999999999,0,0,147456,76900,224356,147456,224356,3e-3,ViT/results/p1_vision/cifar100_1000/lora_s44.json,ViT/logs/p1_vit72k_1804657_0.out,0.001,None,20.0,64,1,128,1,0.2,0.1,SchedulerType.LINEAR,OptimizerNames.ADAMW_TORCH,True
p1_vision,cifar100_1000,prolosa_r12to1,42,42,86.39,86.57000000000001,22708,1892,24600,76900,101500,22708,99608,3e-3,ViT/results/p1_vision/cifar100_1000/prolosa_r12to1_s42.json,ViT/logs/p1_vit_5880_1795947_5.out,0.001,0.004,20.0,64,1,32,1,0.2,0.1,SchedulerType.LINEAR,OptimizerNames.ADAMW_TORCH,True
p1_vision,cifar100_1000,prolosa_r2to1,42,42,86.35000000000001,86.42999999999999,16400,8200,24600,76900,101500,16400,93300,3e-3,ViT/results/p1_vision/cifar100_1000/prolosa_r2to1_s42.json,ViT/logs/p1_vit_5880_1795942_2.out,0.001,0.004,20.0,64,1,32,1,0.2,0.1,SchedulerType.LINEAR,OptimizerNames.ADAMW_TORCH,True
p1_vision,cifar100_1000,prolosa_r4to1,42,42,86.5,86.56,19680,4920,24600,76900,101500,19680,96580,3e-3,ViT/results/p1_vision/cifar100_1000/prolosa_r4to1_s42.json,ViT/logs/p1_vit_5880_1795943_3.out,0.001,0.004,20.0,64,1,32,1,0.2,0.1,SchedulerType.LINEAR,OptimizerNames.ADAMW_TORCH,True
p1_vision,cifar100_1000,prolosa_r8to1,42,42,86.33999999999999,86.49,21867,2733,24600,76900,101500,21867,98767,3e-3,ViT/results/p1_vision/cifar100_1000/prolosa_r8to1_s42.json,ViT/logs/p1_vit_5880_1795945_4.out,0.001,0.004,20.0,64,1,32,1,0.2,0.1,SchedulerType.LINEAR,OptimizerNames.ADAMW_TORCH,True
p1_vision,cifar100_1000,unilora,42,42,86.59,86.71,24600,0,24600,76900,101500,24600,101500,3e-3,ViT/results/p1_vision/cifar100_1000/unilora_s42.json,ViT/logs/p1_vit_5880_1795550_1.out,0.004,None,20.0,64,1,128,1,0.2,0.1,SchedulerType.LINEAR,OptimizerNames.ADAMW_TORCH,True
p1_vision,cifar100_5000,lora,42,42,89.87,89.87,0,0,147456,76900,224356,147456,224356,3e-3,ViT/results/p1_vision/cifar100_5000/lora_s42.json,ViT/logs/p1_vit_5880_1795583_18.out,0.001,None,10.0,64,1,128,1,0.2,0.1,SchedulerType.LINEAR,OptimizerNames.ADAMW_TORCH,True
p1_vision,cifar100_5000,prolosa_r12to1,42,42,89.36,89.41,22708,1892,24600,76900,101500,22708,99608,3e-3,ViT/results/p1_vision/cifar100_5000/prolosa_r12to1_s42.json,ViT/logs/p1_vit_5880_1796032_23.out,0.001,0.004,10.0,64,1,128,1,0.2,0.1,SchedulerType.LINEAR,OptimizerNames.ADAMW_TORCH,True
