model,dataset,seed,test_accuracy_pct,validation_accuracy_pct,best_epoch,d,K,vector_lr,head_lr,source
base,cifar100,42,92.10000000000001,92.10000000000001,18.0,66462,5538,0.01,0.01,/home/hzhaobi/Uni-LoRA/ViT/table5/runs/final_base_cifar100_7eedadbfbdd2/attempt1/result.json
base,cifar100,43,92.10000000000001,92.10000000000001,17.0,66462,5538,0.01,0.01,/home/hzhaobi/Uni-LoRA/ViT/table5/runs/final_base_cifar100_4d4c7b053bf0/attempt1/result.json
base,cifar100,44,91.9,91.9,19.0,66462,5538,0.01,0.01,/home/hzhaobi/Uni-LoRA/ViT/table5/runs/final_base_cifar100_cee970539e9d/attempt1/result.json
base,cifar100,45,91.78,91.78,20.0,66462,5538,0.01,0.01,/home/hzhaobi/Uni-LoRA/ViT/table5/runs/final_base_cifar100_1132a2108694/attempt1/result.json
base,cifar100,46,92.42,92.42,18.0,66462,5538,0.01,0.01,/home/hzhaobi/Uni-LoRA/ViT/table5/runs/final_base_cifar100_942d0fe4df9b/attempt1/result.json
large,cifar100,42,93.46,93.46,20.0,115200,28800,0.01,0.002,/home/hzhaobi/Uni-LoRA/ViT/table5/runs/final_large_cifar100_37fcb8a329de/attempt1/result.json
large,cifar100,43,93.47999999999999,93.47999999999999,14.0,115200,28800,0.01,0.002,/home/hzhaobi/Uni-LoRA/ViT/table5/runs/final_large_cifar100_1b9224c6277e/attempt1/result.json
large,cifar100,44,93.28,93.28,6.0,115200,28800,0.01,0.002,/home/hzhaobi/Uni-LoRA/ViT/table5/runs/final_large_cifar100_7545df74c864/attempt1/result.json
large,cifar100,45,93.64,93.64,15.0,115200,28800,0.01,0.002,/home/hzhaobi/Uni-LoRA/ViT/table5/runs/final_large_cifar100_0d9e75da27e4/attempt1/result.json
large,cifar100,46,93.44,93.44,13.0,115200,28800,0.01,0.002,/home/hzhaobi/Uni-LoRA/ViT/table5/runs/final_large_cifar100_67c9dcba4826/attempt1/result.json
base,dtd,42,80.44444444444444,80.44444444444444,10.0,66462,5538,0.01,0.01,/home/hzhaobi/Uni-LoRA/ViT/table5/runs/final_base_dtd_ddf29cbe2069/attempt1/result.json
base,dtd,43,80.44444444444444,80.44444444444444,9.0,66462,5538,0.01,0.01,/home/hzhaobi/Uni-LoRA/ViT/table5/runs/final_base_dtd_62efa7e36a71/attempt1/result.json
base,dtd,44,80.88888888888889,80.88888888888889,11.0,66462,5538,0.01,0.01,/home/hzhaobi/Uni-LoRA/ViT/table5/runs/final_base_dtd_70bcddcc4c30/attempt1/result.json
base,dtd,45,81.55555555555556,81.55555555555556,16.0,66462,5538,0.01,0.01,/home/hzhaobi/Uni-LoRA/ViT/table5/runs/final_base_dtd_8675edebcdad/attempt1/result.json
base,dtd,46,80.66666666666666,80.66666666666666,8.0,66462,5538,0.01,0.01,/home/hzhaobi/Uni-LoRA/ViT/table5/runs/final_base_dtd_f8fdf77da2bd/attempt1/result.json
large,dtd,42,81.11111111111111,81.11111111111111,8.0,128000,16000,0.01,0.01,/home/hzhaobi/Uni-LoRA/ViT/table5/runs/final_large_dtd_7d701e3d072a/attempt1/result.json
large,dtd,43,81.11111111111111,81.11111111111111,14.0,128000,16000,0.01,0.01,/home/hzhaobi/Uni-LoRA/ViT/table5/runs/final_large_dtd_ef87c10681d9/attempt1/result.json
large,dtd,44,80.44444444444444,80.44444444444444,12.0,128000,16000,0.01,0.01,/home/hzhaobi/Uni-LoRA/ViT/table5/runs/final_large_dtd_2c96600308fb/attempt1/result.json
large,dtd,45,80.88888888888889,80.88888888888889,5.0,128000,16000,0.01,0.01,/home/hzhaobi/Uni-LoRA/ViT/table5/runs/final_large_dtd_68d77153c49e/attempt1/result.json
large,dtd,46,80.44444444444444,80.44444444444444,12.0,128000,16000,0.01,0.01,/home/hzhaobi/Uni-LoRA/ViT/table5/runs/final_large_dtd_b03747f66331/attempt1/result.json
base,cifar10,42,98.88,98.88,15.0,57600,14400,0.01,0.01,/home/hzhaobi/Uni-LoRA/ViT/table5/runs/final_base_cifar10_2e76439df51b/attempt1/result.json
base,cifar10,43,99.0,99.0,13.0,57600,14400,0.01,0.01,/home/hzhaobi/Uni-LoRA/ViT/table5/runs/final_base_cifar10_dc9538ea520f/attempt1/result.json
base,cifar10,44,98.83999999999999,98.83999999999999,12.0,57600,14400,0.01,0.01,/home/hzhaobi/Uni-LoRA/ViT/table5/runs/final_base_cifar10_1622452d54a0/attempt1/result.json
base,cifar10,45,98.96000000000001,98.96000000000001,13.0,57600,14400,0.01,0.01,/home/hzhaobi/Uni-LoRA/ViT/table5/runs/final_base_cifar10_d949c12a2488/attempt1/result.json
base,cifar10,46,98.88,98.88,20.0,57600,14400,0.01,0.01,/home/hzhaobi/Uni-LoRA/ViT/table5/runs/final_base_cifar10_5e5752c07029/attempt1/result.json
large,cifar10,42,99.42,99.42,8.0,96000,48000,0.01,0.01,/home/hzhaobi/Uni-LoRA/ViT/table5/runs/final_large_cifar10_ea7843b063db/attempt1/result.json
