group,seed,rank,effective_parameters,main_lr,d,k,warmup,ifeval_prompt_strict,ifbench_prompt_loose
lora,0,4,10485760,5e-05,10485760,0,,48.24399260628466,17.666666666666668
lora,21,4,10485760,5e-05,10485760,0,,44.17744916820702,15.666666666666668
lora,42,4,10485760,5e-05,10485760,0,,47.504621072088725,17.333333333333336
prolosa_backup,0,4,2621440,0.0024,2097152,524288,128,46.58040665434381,18.0
prolosa_backup,21,4,2621440,0.0024,2097152,524288,128,44.36229205175601,17.0
prolosa_backup,42,4,2621440,0.0024,2097152,524288,128,49.72273567467653,19.333333333333332
prolosa_primary,0,4,2621440,0.0024,2419791,201649,128,44.91682070240296,15.333333333333332
prolosa_primary,21,4,2621440,0.0024,2419791,201649,128,47.31977818853974,15.0
prolosa_primary,42,4,2621440,0.0024,2419791,201649,128,51.571164510166355,18.0
unilora,0,4,2621440,0.003,2621440,0,,41.77449168207024,14.666666666666666
unilora,21,4,2621440,0.003,2621440,0,,49.16820702402958,16.333333333333332
unilora,42,4,2621440,0.003,2621440,0,,48.98336414048059,16.333333333333332
