panel,n,gamma,method,risk_mean,risk_std,bias,variance
risk_n64,64,0.0,LoRA,15.038851747562978,0.40517719881244846,13.162640831360138,1.8762109162028386
risk_n64,64,0.0,ProLoSA,1.9620468170286758,1.1992826661054206,0.4989748191186388,1.463071997910037
risk_n64,64,0.0,Uni-LoRA,3.8631457566659897,0.7338221559841064,1.8622933086906566,2.000852447975333
risk_n64,64,0.5,LoRA,15.165282628008878,0.4033561098825463,13.271165317877529,1.8941173101313509
risk_n64,64,0.5,ProLoSA,2.469132285775252,1.2467210171452447,0.6806426308110769,1.7884896549641751
risk_n64,64,0.5,Uni-LoRA,4.219373763000133,0.8059026676549671,2.0117392428003447,2.2076345201997882
risk_n64,64,1.0,LoRA,15.509864151580473,0.4076044693291865,13.570320788104135,1.9395433634763384
risk_n64,64,1.0,ProLoSA,3.7568309197437237,1.4192345369140826,1.1934852741311748,2.5633456456125487
risk_n64,64,1.0,Uni-LoRA,5.097036898958319,1.002101943873135,2.4139440294107652,2.6830928695475533
risk_n64,64,1.5,LoRA,16.072596318277764,0.41806401581954933,14.060107242039958,2.0124890762378027
risk_n64,64,1.5,ProLoSA,6.0587975214366425,1.9048081330248166,1.9850654633194122,4.073732058117233
risk_n64,64,1.5,Uni-LoRA,6.496135164540545,1.31486129204824,3.068907668521917,3.427227496018628
risk_n64,64,2.0,LoRA,16.85347912810074,0.43474825695690433,14.740524679684997,2.112954448415743
risk_n64,64,2.0,ProLoSA,8.930298585292068,2.4124959561159933,2.9911994797654193,5.9390991055266475
risk_n64,64,2.0,Uni-LoRA,8.416668559746812,1.734127863314752,3.976630160133801,4.440038399613012
risk_n256,256,0.0,LoRA,8.580378697884989,0.5473768677072245,4.202619739465054,4.377758958419937
risk_n256,256,0.0,ProLoSA,0.09891802889663909,0.11301215402156567,0.014305501371924588,0.0846125275247145
risk_n256,256,0.0,Uni-LoRA,2.1302500303043366,0.06970275388480072,1.8496641814617483,0.28058584884258797
risk_n256,256,0.5,LoRA,8.655520478350608,0.5463905572408895,4.2411621811811955,4.414358297169412
risk_n256,256,0.5,ProLoSA,0.2711503249597581,0.11624892727204762,0.14917362414229796,0.12197670081746015
risk_n256,256,0.5,Uni-LoRA,2.298630146747313,0.07298564957570128,1.9976901419621977,0.3009400047851153
risk_n256,256,1.0,LoRA,8.85617183517376,0.5539392054597989,4.3433143871239475,4.512857448049812
risk_n256,256,1.0,ProLoSA,0.7626337294898685,0.1319512088547908,0.5415479987986943,0.22108573069117401
risk_n256,256,1.0,Uni-LoRA,2.7537159419323336,0.09065414029311405,2.396079407028661,0.3576365349036732
risk_n256,256,1.5,LoRA,9.182332768354447,0.5703134983188589,4.50907635729331,4.673256411061136
risk_n256,256,1.5,ProLoSA,1.5514778026213674,0.16501373566617408,1.177981143949645,0.37349665867172205
risk_n256,256,1.5,Uni-LoRA,3.4955074158593993,0.12041658620476867,3.044831976661138,0.45067543919826164
risk_n256,256,2.0,LoRA,9.634003277892669,0.5956725158277228,4.738448091689285,4.895555186203385
risk_n256,256,2.0,ProLoSA,2.6610907157494683,0.17970204559265773,2.0627589314334225,0.5983317843160454
risk_n256,256,2.0,Uni-LoRA,4.524004568528508,0.16044223330839227,3.943947850859628,0.5800567176688805
bias_variance_n64_gamma1,64,1.0,LoRA,15.509864151580473,0.4076044693291865,13.570320788104135,1.9395433634763384
bias_variance_n64_gamma1,64,1.0,ProLoSA,3.7568309197437237,1.4192345369140826,1.1934852741311748,2.5633456456125487
bias_variance_n64_gamma1,64,1.0,Uni-LoRA,5.097036898958319,1.002101943873135,2.4139440294107652,2.6830928695475533
