panel,scenario,overlap,n,gamma,win_rate,wins,total,delta_unilora_minus_prolosa
win_rate_gamma_ge_1,rotated 0 deg,1.0,all,>=1,0.75,27,36,
win_rate_gamma_ge_1,rotated 5 deg,0.9924038765061043,all,>=1,0.75,27,36,
win_rate_gamma_ge_1,rotated 15 deg,0.9330127018922194,all,>=1,0.6388888888888888,23,36,
win_rate_gamma_ge_1,rotated 30 deg,0.7499999999999999,all,>=1,0.5555555555555556,20,36,
win_rate_gamma_ge_1,independent,0.06304928198243062,all,>=1,0.4166666666666667,15,36,
delta_n256,rotated 0 deg,1.0,256,0.0,,,,-0.03554180948391251
delta_n256,rotated 0 deg,1.0,256,0.5,,,,0.08600189629706083
delta_n256,rotated 0 deg,1.0,256,1.0,,,,0.48226912451011095
delta_n256,rotated 0 deg,1.0,256,1.5,,,,1.1320655557243504
delta_n256,rotated 0 deg,1.0,256,2.0,,,,2.0398617754808117
delta_n256,rotated 5 deg,0.9924038765061043,256,0.0,,,,-0.04036307582689294
delta_n256,rotated 5 deg,0.9924038765061043,256,0.5,,,,0.07340884290283956
delta_n256,rotated 5 deg,0.9924038765061043,256,1.0,,,,0.460582881741317
delta_n256,rotated 5 deg,0.9924038765061043,256,1.5,,,,1.105324498435477
delta_n256,rotated 5 deg,0.9924038765061043,256,2.0,,,,2.012728922044308
delta_n256,rotated 15 deg,0.9330127018922194,256,0.0,,,,-0.08359322981131179
delta_n256,rotated 15 deg,0.9330127018922194,256,0.5,,,,-0.0715509348545198
delta_n256,rotated 15 deg,0.9330127018922194,256,1.0,,,,0.1736606541329131
delta_n256,rotated 15 deg,0.9330127018922194,256,1.5,,,,0.7237964796450527
delta_n256,rotated 15 deg,0.9330127018922194,256,2.0,,,,1.5517764342496108
delta_n256,rotated 30 deg,0.7499999999999999,256,0.0,,,,-0.11205600856392417
delta_n256,rotated 30 deg,0.7499999999999999,256,0.5,,,,-0.07272051279980607
delta_n256,rotated 30 deg,0.7499999999999999,256,1.0,,,,0.05620400548028126
delta_n256,rotated 30 deg,0.7499999999999999,256,1.5,,,,0.5094463338924262
delta_n256,rotated 30 deg,0.7499999999999999,256,2.0,,,,1.3098447939046771
delta_n256,independent,0.06304928198243062,256,0.0,,,,-0.25966992653780707
delta_n256,independent,0.06304928198243062,256,0.5,,,,-0.22983123824613472
delta_n256,independent,0.06304928198243062,256,1.0,,,,-0.13400891466540088
delta_n256,independent,0.06304928198243062,256,1.5,,,,0.29743826801353634
delta_n256,independent,0.06304928198243062,256,2.0,,,,0.8341482783145366
delta_n1024,rotated 0 deg,1.0,1024,0.0,,,,-0.011213046723940731
delta_n1024,rotated 0 deg,1.0,1024,0.5,,,,0.1220210450069768
delta_n1024,rotated 0 deg,1.0,1024,1.0,,,,0.5086082559791412
delta_n1024,rotated 0 deg,1.0,1024,1.5,,,,1.1489799272653973
delta_n1024,rotated 0 deg,1.0,1024,2.0,,,,2.0451433427761097
delta_n1024,rotated 5 deg,0.9924038765061043,1024,0.0,,,,0.011187052727808344
delta_n1024,rotated 5 deg,0.9924038765061043,1024,0.5,,,,0.12553128908892147
delta_n1024,rotated 5 deg,0.9924038765061043,1024,1.0,,,,0.5012598756416708
delta_n1024,rotated 5 deg,0.9924038765061043,1024,1.5,,,,1.1323906005728124
delta_n1024,rotated 5 deg,0.9924038765061043,1024,2.0,,,,2.021353367655286
delta_n1024,rotated 15 deg,0.9330127018922194,1024,0.0,,,,0.1499892674470209
delta_n1024,rotated 15 deg,0.9330127018922194,1024,0.5,,,,0.19104534385081728
delta_n1024,rotated 15 deg,0.9330127018922194,1024,1.0,,,,0.5193489614579827
delta_n1024,rotated 15 deg,0.9330127018922194,1024,1.5,,,,1.1338138516315457
delta_n1024,rotated 15 deg,0.9330127018922194,1024,2.0,,,,2.0021409389342257
delta_n1024,rotated 30 deg,0.7499999999999999,1024,0.0,,,,0.43419616657738347
delta_n1024,rotated 30 deg,0.7499999999999999,1024,0.5,,,,0.46872269607271244
delta_n1024,rotated 30 deg,0.7499999999999999,1024,1.0,,,,0.7098972666964696
delta_n1024,rotated 30 deg,0.7499999999999999,1024,1.5,,,,1.2600687691363426
delta_n1024,rotated 30 deg,0.7499999999999999,1024,2.0,,,,2.058142507128929
delta_n1024,independent,0.06304928198243062,1024,0.0,,,,2.26535101880779
delta_n1024,independent,0.06304928198243062,1024,0.5,,,,2.3954891648407486
delta_n1024,independent,0.06304928198243062,1024,1.0,,,,2.67191122693567
delta_n1024,independent,0.06304928198243062,1024,1.5,,,,3.1361355443682175
delta_n1024,independent,0.06304928198243062,1024,2.0,,,,3.733240007376711
